x,y,SitesType,TrapsType
6.605352641,0.371110051,0.0,-1.0
6.60591,0.39449,0.0,-1.0
6.60915,0.32769,0.0,-1.0
6.60919,0.28378,0.0,-1.0
6.6116,0.08708,0.0,-1.0
6.61228,0.37683,0.0,-1.0
6.61244,0.30942,0.0,-1.0
6.61328,0.09918,0.0,-1.0
6.61362,0.10804,0.0,-1.0
6.61523,0.36589,0.0,-1.0
6.617,0.09285,0.0,-1.0
6.61790447,0.2902647,0.0,-1.0
6.617501185,0.352241413,0.0,-1.0
6.61791,0.25605,0.0,-1.0
6.61797,0.3417,0.0,-1.0
6.618116591,0.361114743,0.0,-1.0
6.62042,0.09988,0.0,-1.0
6.62085,0.29962,0.0,-1.0
6.62134,0.10529,0.0,-1.0
6.62266,0.30895,0.0,-1.0
6.62349,0.26222,0.0,-1.0
6.623670585,0.342609543,0.0,-1.0
6.623847153,0.377351906,0.0,-1.0
6.62546,0.14221,0.0,-1.0
6.625862869,0.279224968,0.0,-1.0
6.62661,0.10631,0.0,-1.0
6.627051356,0.320838512,0.0,-1.0
6.62712,0.40657,0.0,-1.0
6.62732,0.32717,0.0,-1.0
6.62845,0.11913,0.0,-1.0
6.62853,0.12662,0.0,-1.0
6.62867,0.25759,0.0,-1.0
6.62913,0.34756,0.0,-1.0
6.631595,0.385515,0.0,-1.0
6.635265,0.28758,0.0,-1.0
6.63325,0.33262,0.0,-1.0
6.63326,0.29892,0.0,-1.0
6.63375,0.13091,0.0,-1.0
6.634075226,0.24573366,0.0,-1.0
6.634956475,0.40639449,0.0,-1.0
6.636380922,0.380906547,0.0,-1.0
6.638809664,0.374665354,0.0,-1.0
6.640826456,0.336970565,0.0,-1.0
6.63833,0.13494,0.0,-1.0
6.63838,0.25186,0.0,-1.0
6.639195,0.108135,0.0,-1.0
6.63956,0.12191,0.0,-1.0
6.641433333,0.297983333,0.0,-1.0
6.64035,0.24158,0.0,-1.0
6.642402579,0.266969088,0.0,-1.0
6.641100586,0.235023166,0.0,-1.0
6.64199,0.31168,0.0,-1.0
6.644235,0.365535,0.0,-1.0
6.645230806,0.208430439,0.0,-1.0
6.6459,0.32618,0.0,-1.0
6.649240082,0.134337369,0.0,-1.0
6.646958875,0.282051494,0.0,-1.0
6.649556667,0.303186667,0.0,-1.0
6.64815,0.34107,0.0,-1.0
6.650124119,0.351925064,0.0,-1.0
6.65112,0.26109,0.0,-1.0
6.651889332,0.254758504,0.0,-1.0
6.660442065,0.337215543,0.0,-1.0
6.654505,0.29145,0.0,-1.0
6.6529,0.27505,0.0,-1.0
6.654293355,0.310824316,0.0,-1.0
6.6549,0.3902,0.0,-1.0
6.654975326,0.268224648,0.0,-1.0
6.65527,0.37401,0.0,-1.0
6.656055,0.40799,0.0,-1.0
6.657925,0.151095,0.0,-1.0
6.659557383,0.298350362,0.0,-1.0
6.65856,0.32397,0.0,-1.0
6.65948,0.38067,0.0,-1.0
6.659795298,0.389173766,0.0,-1.0
6.666421577,0.373717519,0.0,-1.0
6.661214522,0.276888176,0.0,-1.0
6.662213479,0.315579888,0.0,-1.0
6.663062502,0.350844829,0.0,-1.0
6.681141441,0.293332437,0.0,-1.0
6.66529,0.25012,0.0,-1.0
6.665686345,0.198670526,0.0,-1.0
6.666177315,0.410809247,0.0,-1.0
6.66682,0.1477,0.0,-1.0
6.6682465,0.3569915,0.0,-1.0
6.667379983,0.234730036,0.0,-1.0
6.667621736,0.189538653,0.0,-1.0
6.66813,0.28079,0.0,-1.0
6.669785,0.30826,0.0,-1.0
6.66841063,0.379961699,0.0,-1.0
6.66934,0.36798,0.0,-1.0
6.66938,0.34315,0.0,-1.0
6.670067757,0.322838132,0.0,-1.0
6.670425,0.157815,0.0,-1.0
6.67048,0.21748,0.0,-1.0
6.6708,0.27338,0.0,-1.0
6.672441089,0.348915728,0.0,-1.0
6.672721725,0.201178708,0.0,-1.0
6.67307,0.33691,0.0,-1.0
6.67342,0.31646,0.0,-1.0
6.673521563,0.266778948,0.0,-1.0
6.67391,0.38665,0.0,-1.0
6.675237667,0.260781409,0.0,-1.0
6.67608,0.22832,0.0,-1.0
6.682081667,0.325946667,0.0,-1.0
6.67714,0.16249,0.0,-1.0
6.682895974,0.365311773,0.0,-1.0
6.67873781,0.35174018,0.0,-1.0
6.68169,0.24151,0.0,-1.0
6.68273183,0.175778643,0.0,-1.0
6.683518195,0.187323946,0.0,-1.0
6.683934462,0.307984846,0.0,-1.0
6.693935079,0.316013758,0.0,-1.0
6.684711643,0.252198923,0.0,-1.0
6.685131852,0.341319845,0.0,-1.0
6.68715,0.34672,0.0,-1.0
6.688438629,0.401416031,0.0,-1.0
6.689229345,0.35513928,0.0,-1.0
6.68929,0.33334,0.0,-1.0
6.68975,0.21971,0.0,-1.0
6.68982,0.23342,0.0,-1.0
6.693015836,0.258094483,0.0,-1.0
6.691731447,0.185940799,0.0,-1.0
6.69344,0.27248,0.0,-1.0
6.69423,0.34512,0.0,-1.0
6.695251838,0.19080873,0.0,-1.0
6.697495378,0.337884013,0.0,-1.0
6.69682,0.2423,0.0,-1.0
6.698573575,0.211025545,0.0,-1.0
6.699127704,0.382737675,0.0,-1.0
6.701169326,0.196284484,0.0,-1.0
6.701993971,0.285172766,0.0,-1.0
6.70206,0.36221,0.0,-1.0
6.702178614,0.297605332,0.0,-1.0
6.70222,0.23296,0.0,-1.0
6.702505377,0.332119418,0.0,-1.0
